content,score,clean
pengambilan barang tepat waktu,5,pengambilan barang tepat waktu
lebih mudah,5,lebih mudah
"GO-RIDE hemat jemput nya jauh jauh, it bego",1,goride hemat jemput nya jauh jauh it bego
"saran, coba dibikin fitur goride/gocar yg dimana drivernya ini perempuan. Fitur nanti dikhususkan kepada pengguna atau customer yang perempuan juga. Pakai verifikasi driver, dan verifikasi pengguna juga🙏",5,saran coba dibikin fitur goridegocar yg dimana drivernya ini perempuan fitur nanti dikhususkan kepada pengguna atau customer yang perempuan juga pakai verifikasi driver dan verifikasi pengguna juga
ok banget 🧡,5,ok banget 
ongkirnya ga ngotak jirr,3,ongkirnya ga ngotak jirr
nyiksa Mitra nyiksa konsumen juga,1,nyiksa mitra nyiksa konsumen juga
sangat berguna untuk orang orang yang ga ada yang bisa nganterin,5,sangat berguna untuk orang orang yang ga ada yang bisa nganterin
sekarang makai gojek cuman buat bayar qris aja untuk pesanan antar orang atau barang udah susah. kebanyakan drivernya beralasan,3,sekarang makai gojek cuman buat bayar qris aja untuk pesanan antar orang atau barang udah susah kebanyakan drivernya beralasan
aplikasinya sudah bagus. lumayan sering dapat voucher promo. kalo boleh saran adain juga metode pembayaran QRIS,5,aplikasinya sudah bagus lumayan sering dapat voucher promo kalo boleh saran adain juga metode pembayaran qris
"Susah amat nyari driver Gocar udah berapa kali kejadian dapet driver gocar ga becus diterima tapi kagak mau jalan, ngabisin waktu gw doang, ini aja gw bukannya nunggu driver malah nyari driver, gajelas",1,susah amat nyari driver gocar udah berapa kali kejadian dapet driver gocar ga becus diterima tapi kagak mau jalan ngabisin waktu gw doang ini aja gw bukannya nunggu driver malah nyari driver gajelas
SANGAT BERGUNA,5,sangat berguna
"padahal ambil barang sesuai titik maps, masa muter-muter nyariin padahal terpampang jelas toko keliatan, alasan klasik biar nambah uang, udah sering GO-SEND ini di pinta lagi, saya tau masuk ruko bayar parkir 3rb tapi kalau blm lewat 5 menit free, saya pantau di maps pergerakannya dia kaga muter-muter ruko, kalau sekiranya harga ga cocok chat biar saya cancel jangan pas ambil minta duit lagi biasa oknum ni",1,padahal ambil barang sesuai titik maps masa mutermuter nyariin padahal terpampang jelas toko keliatan alasan klasik biar nambah uang udah sering gosend ini di pinta lagi saya tau masuk ruko bayar parkir rb tapi kalau blm lewat  menit free saya pantau di maps pergerakannya dia kaga mutermuter ruko kalau sekiranya harga ga cocok chat biar saya cancel jangan pas ambil minta duit lagi biasa oknum ni
"gojek sekarang beda dgn yg dulu, gojek sekarang cari driver susah, karena para hak driver gx sejahtera, saya dari beberapa kali order gocar gx dapat driver, sampai 3 x order, akhirnya ke aplikasi sebelah, order makanan hampir 2 jam, jd tak selera makan,",3,gojek sekarang beda dgn yg dulu gojek sekarang cari driver susah karena para hak driver gx sejahtera saya dari beberapa kali order gocar gx dapat driver sampai  x order akhirnya ke aplikasi sebelah order makanan hampir  jam jd tak selera makan
lama cari drivernya,2,lama cari drivernya
sering nggak pernah dapet driver padahal posisi udah laper bgt,3,sering nggak pernah dapet driver padahal posisi udah laper bgt
"bagus,mudah & simpel",5,bagusmudah  simpel
"aplikasi GO-JEK hemat, ada 2 driver hr ini yg tdk mau. dan yg ke 2. menghina konsumen dg chat wkwkwkwk hemat gitu doang trus di cancel sendiri",5,aplikasi gojek hemat ada  driver hr ini yg tdk mau dan yg ke  menghina konsumen dg chat wkwkwkwk hemat gitu doang trus di cancel sendiri
Good knowledge Good service Good innovation,5,good knowledge good service good innovation
kalau bisa titik nya di sesuaikan lagi kak saya punya resto setiap gosend walaupun alamat sudah bener tapi kata gojeknya titik tidak sesuai dan akhirnya minta tambah ongkos padahal saya cek di maps titiknya bener di situ malah driver e yang salah jalan bisa di perbaiki lagi kalau kayak gini saya rugi,2,kalau bisa titik nya di sesuaikan lagi kak saya punya resto setiap gosend walaupun alamat sudah bener tapi kata gojeknya titik tidak sesuai dan akhirnya minta tambah ongkos padahal saya cek di maps titiknya bener di situ malah driver e yang salah jalan bisa di perbaiki lagi kalau kayak gini saya rugi
"jangan ada yang ambil program nabung BRI yang terdapat pada aplikasi gojek driver. karna, terdapat ke-tidak dinkronan data antara saldo Brimo dengan saldo yang dipotong melalui aplikasi. kita ajukan komplen punsusah",1,jangan ada yang ambil program nabung bri yang terdapat pada aplikasi gojek driver karna terdapat ketidak dinkronan data antara saldo brimo dengan saldo yang dipotong melalui aplikasi kita ajukan komplen punsusah
bagus disponsor dgn GOpay,5,bagus disponsor dgn gopay
kecewa dengan gojek skrg dpet driver aja lama ssekali.. trs sering di cancel kalo pesen gofood. kayanya harus pindah aplikasi sebelah.,2,kecewa dengan gojek skrg dpet driver aja lama ssekali trs sering di cancel kalo pesen gofood kayanya harus pindah aplikasi sebelah
"map & titik mohon akurat lagi,trim",5,map  titik mohon akurat lagitrim
bisa membantu,5,bisa membantu
drivernya ramah,5,drivernya ramah
Sangat bagus dan pelayananya sangat cepat,5,sangat bagus dan pelayananya sangat cepat
sejak ramadhan sulit dpt driver gojek,4,sejak ramadhan sulit dpt driver gojek
bagus...,5,bagus
nice😊,5,nice
lama dapat driver.,1,lama dapat driver
ok dah,5,ok dah
sangatlah membantu dalam berpergian kesana saja,5,sangatlah membantu dalam berpergian kesana saja
driver byaa ok2,5,driver byaa ok
"Saran aja, mohon kondisi jaringan nya di benerin ya, saya mau mesen goride susah banget harus pakai wifi, jadi tolong sekali dibenerin ya",4,saran aja mohon kondisi jaringan nya di benerin ya saya mau mesen goride susah banget harus pakai wifi jadi tolong sekali dibenerin ya
buang buang waktu. nyaut driver lebih jauh ke titik Penjemputan daripada ke tujuan,1,buang buang waktu nyaut driver lebih jauh ke titik penjemputan daripada ke tujuan
ko gg bisa,5,ko gg bisa
sangat terbantu..👍🏼🫰🏼☺️,5,sangat terbantu
"turun deh jadi bintang 2, apaan tarif promo di batalin sama driver mulu.",2,turun deh jadi bintang  apaan tarif promo di batalin sama driver mulu
aman berkendara,4,aman berkendara
"jaringan susah ketika hujan, bnyk driver yg ada dekat, tapi yg dapat malah jauh""",2,jaringan susah ketika hujan bnyk driver yg ada dekat tapi yg dapat malah jauh
bagus sangat membantu,4,bagus sangat membantu
oke mantap,4,oke mantap
best banget,5,best banget
"cinta bangettt, gojek nemenin aku kemana-mana 💕💕",5,cinta bangettt gojek nemenin aku kemanamana 
lemot banget herann. mana nanti notifnya wifi mati dll. padahal sinyal lancar jaya. buat buka apk lain pun lancar. emang cuma gojek aja nih yg agak agak kurasa,4,lemot banget herann mana nanti notifnya wifi mati dll padahal sinyal lancar jaya buat buka apk lain pun lancar emang cuma gojek aja nih yg agak agak kurasa
ok,3,ok
semoga gojek Indonesia selalu memberikan pelayanan yang bagus dan memberikan keuntungan untuk penumpang dan driver.,4,semoga gojek indonesia selalu memberikan pelayanan yang bagus dan memberikan keuntungan untuk penumpang dan driver
cuma kalau hujan sulit dapat bah,5,cuma kalau hujan sulit dapat bah
cari drivernya lama padahal sudah pakek prioritas tetep masih lama pilih ongkir paling mahal pun tetap lama cari driver di si apk warna kuning lebih cepat,1,cari drivernya lama padahal sudah pakek prioritas tetep masih lama pilih ongkir paling mahal pun tetap lama cari driver di si apk warna kuning lebih cepat
kren,5,kren
bagus tapi aplikasinya berberat banget,5,bagus tapi aplikasinya berberat banget
"Saya lebih suka tampilan Gojek daripada Gopay dan Gojek Memiliki lebih banyak fitur seperti gofood, gojek, dll. tolong dong pihak Gojek Adain Fitur ngeliat total pengeluaran kita perbulan seperti di Gopay, buat install 2 aplikasi sekaligus gitu rasanya memakan banyak storage",4,saya lebih suka tampilan gojek daripada gopay dan gojek memiliki lebih banyak fitur seperti gofood gojek dll tolong dong pihak gojek adain fitur ngeliat total pengeluaran kita perbulan seperti di gopay buat install  aplikasi sekaligus gitu rasanya memakan banyak storage
Mantaps,5,mantaps
Aplikasi yang membantu kebutuhan saya,5,aplikasi yang membantu kebutuhan saya
"bagus, hanya penentuan lokasi pick up konsumen bisa lebih baik lagi ya",4,bagus hanya penentuan lokasi pick up konsumen bisa lebih baik lagi ya
bapak supirnya mau diajak ngobrol sama anakku yng berkebutuhan khusus,5,bapak supirnya mau diajak ngobrol sama anakku yng berkebutuhan khusus
"disaat butuh segera, lama banget dapet drivernya .. udah beberapa kali kayak gini.. padahal ada icon driver nya disekitar titik jemput, tapi gak nyangkut..",3,disaat butuh segera lama banget dapet drivernya  udah beberapa kali kayak gini padahal ada icon driver nya disekitar titik jemput tapi gak nyangkut
"jujur aja ya saya tuh aga kecewa kadang sama driver nya. apalgi pagi ini bener' bikin saya emosi bgt sama sikap drivernya. saya anak sekolah dan saya pasti punya jadwal masuk dan ditutup nya gerbang, padahal saya udah bilang ke abangnya kalo mau beli bensin beli aja dulu. dia gamau ngertiin. waktu saya abis cuman buat nungguin dia isi bensin. dan akhirnya saya mutusin buat muter balik aja ga sekolah karna gerbang keburu di tutup dan saya bt.",3,jujur aja ya saya tuh aga kecewa kadang sama driver nya apalgi pagi ini bener bikin saya emosi bgt sama sikap drivernya saya anak sekolah dan saya pasti punya jadwal masuk dan ditutup nya gerbang padahal saya udah bilang ke abangnya kalo mau beli bensin beli aja dulu dia gamau ngertiin waktu saya abis cuman buat nungguin dia isi bensin dan akhirnya saya mutusin buat muter balik aja ga sekolah karna gerbang keburu di tutup dan saya bt
"susah sekali akhir akhir ini untuk mendapatkan driver, baik dari goride maupun gocar",1,susah sekali akhir akhir ini untuk mendapatkan driver baik dari goride maupun gocar
"aplikasi ojek online tapi ojeknya ga dapet"" wkwk",1,aplikasi ojek online tapi ojeknya ga dapet wkwk
susah cari pengemudi,2,susah cari pengemudi
sulit sekarang saat urgent booking sudah setengah jam ga dapat2,2,sulit sekarang saat urgent booking sudah setengah jam ga dapat
driver ramah,5,driver ramah
"dulu cepet kalo dapet driver, masuk 2026 tambah susah cari driver tolong ya kita yg sekolah juga butuh nihh",2,dulu cepet kalo dapet driver masuk  tambah susah cari driver tolong ya kita yg sekolah juga butuh nihh
"lama dapet driver, sudah telat 4 kali gara² gojek",1,lama dapet driver sudah telat  kali gara gojek
lama cari gojeknya..,1,lama cari gojeknya
harga mahal ttp lama,1,harga mahal ttp lama
driver nya banyak tapi di apk lagi nyari lama banget gw mau sekolah telat,1,driver nya banyak tapi di apk lagi nyari lama banget gw mau sekolah telat
"DRIVER LELET SEMUA, KAGA ADA YANG MAU NGANTER SEMUA. PADAHAL DI DEKAT LOKASI ADA BANYAK DRIVER TAPI GAMAU AMBIL-AMBIL, KESEL BANGET GILAA! UDAH BEBERAPA KALI KEK GANTI SAMPE TEMPAT TUJUAN SELALU TELAT.",2,driver lelet semua kaga ada yang mau nganter semua padahal di dekat lokasi ada banyak driver tapi gamau ambilambil kesel banget gilaa udah beberapa kali kek ganti sampe tempat tujuan selalu telat
lelet dapet driver,1,lelet dapet driver
sangaat bangus sekali,5,sangaat bangus sekali
ko skrg gojek jd mahal bgt jarak dkt aj smp 20rb ihhh.. ud jrang bgt dpt vocher.. parah sihh,2,ko skrg gojek jd mahal bgt jarak dkt aj smp rb ihhh ud jrang bgt dpt vocher parah sihh
"driver lelet, seenaknya sendiri, lalu sistem bintang di costumer suka di main mainin driver biar drivernya itu itu terus karena tip",1,driver lelet seenaknya sendiri lalu sistem bintang di costumer suka di main mainin driver biar drivernya itu itu terus karena tip
"harus nya pembukaan driver di perbnyak, maka nya susah cari driver. karena driver yg lama2 merasa dia pling berkuasa. maka nya seenak nya menolak orderan",2,harus nya pembukaan driver di perbnyak maka nya susah cari driver karena driver yg lama merasa dia pling berkuasa maka nya seenak nya menolak orderan
"Jujur sebenarnya apk nya bagus bgtt, tapi entah kenapa akhir-akhir ini kalau mau mesen goride tuh bener bener lama bgt, walaupun harga nya udah di naikin juga tetep ga ada yg mau ngambil padahal situasi nya bukan hujan, semoga bisa lebih di kembangkan ya",5,jujur sebenarnya apk nya bagus bgtt tapi entah kenapa akhirakhir ini kalau mau mesen goride tuh bener bener lama bgt walaupun harga nya udah di naikin juga tetep ga ada yg mau ngambil padahal situasi nya bukan hujan semoga bisa lebih di kembangkan ya
"Susah cari drivernya mau itu gofood, gocar, gojek. Padahal di sekitar driver banyak. Kemudian driver sekarang pilih2 orderan",1,susah cari drivernya mau itu gofood gocar gojek padahal di sekitar driver banyak kemudian driver sekarang pilih orderan
semoga sekarang aman mohon pengawalan dgn ketat oleh pihak gojek biar tidak ada yang di rugikan oleh pihak ke 3,3,semoga sekarang aman mohon pengawalan dgn ketat oleh pihak gojek biar tidak ada yang di rugikan oleh pihak ke 
"tolng dong perbaiki sistemnya, masa jauh-jauh dpt drivernya. Mau hemat waktu malah jdi ga efisien gra-gara sistem kalian.",3,tolng dong perbaiki sistemnya masa jauhjauh dpt drivernya mau hemat waktu malah jdi ga efisien gragara sistem kalian
gojek makin tidak jelas dan .makan uang drver nya,1,gojek makin tidak jelas dan makan uang drver nya
"mantapp, utk harga ny tolong di turunin dikit hehee",5,mantapp utk harga ny tolong di turunin dikit hehee
"drivernya apa2 kena cas,hujan dikit kena cas,bawa barang bawaan dikit kena cas,kek aji mumpung segala dibikin kena cas",1,drivernya apa kena cashujan dikit kena casbawa barang bawaan dikit kena caskek aji mumpung segala dibikin kena cas
ok 💪,5,ok 
saya nyari makanan tengah malem ngetik nasi goreng keluarnya malah lalapan agak laen nih mohon diperbaiki ya,1,saya nyari makanan tengah malem ngetik nasi goreng keluarnya malah lalapan agak laen nih mohon diperbaiki ya
good good all good thank y,5,good good all good thank y
aplikasi aneh banget dapet goco tapi ga masuk goconya dari daily mistery box terus buka daily mistery box .malah di suruh gacha lagi alhasil coba lagi wkwkwk separah ini kah padahal tdi ada tulisannya goco di distribusi dan ternyata scam,1,aplikasi aneh banget dapet goco tapi ga masuk goconya dari daily mistery box terus buka daily mistery box malah di suruh gacha lagi alhasil coba lagi wkwkwk separah ini kah padahal tdi ada tulisannya goco di distribusi dan ternyata scam
suka gak dapet driver kalo pesen makanan,2,suka gak dapet driver kalo pesen makanan
"Aplikasi gojek, go food nya skrg benar2 kacau dan mengecewakan. Saya sering mesan sampai nunggu Berjam jam dan yang ada malah dibatalkan. Untuk gofood kali ini saya sebagai konsumen sangat kecewa. Sudah nunggu lama driver tak kunjung dapat.",1,aplikasi gojek go food nya skrg benar kacau dan mengecewakan saya sering mesan sampai nunggu berjam jam dan yang ada malah dibatalkan untuk gofood kali ini saya sebagai konsumen sangat kecewa sudah nunggu lama driver tak kunjung dapat
"susah nyari driver,klo udah di batalin mau pesen lagi harus nunggu lama lagi",1,susah nyari driverklo udah di batalin mau pesen lagi harus nunggu lama lagi
"ramah , dan cepat sampai nya.. makasih pak",5,ramah  dan cepat sampai nya makasih pak
pesen gofood susah driver,1,pesen gofood susah driver
"ga mau pakai gojek atau gofood/gosend lagi, kurir/driver nya kasar kasar, amit amit",2,ga mau pakai gojek atau gofoodgosend lagi kurirdriver nya kasar kasar amit amit
apk aneh mesen makanan uda nunggu lama masa driver belum dateng dateng,2,apk aneh mesen makanan uda nunggu lama masa driver belum dateng dateng
lama dapat driver udah 2kali dapat langsung diskip bintang 1,1,lama dapat driver udah kali dapat langsung diskip bintang 
ok bgt pokoknya,5,ok bgt pokoknya
3 dulu... 1 hari ..aku order 4x di tolak mereka... apakah mereka mendapat teguran..atau sangsi.... ini merugikan....jam 21..malam aku menunggu ..😪... tolong dong...profesional.... kalau menolak...lebih baik tidur saja....jgn online. terima kasih 🙏,3, dulu  hari aku order x di tolak mereka apakah mereka mendapat teguranatau sangsi ini merugikanjam malam aku menunggu  tolong dongprofesional kalau menolaklebih baik tidur sajajgn online terima kasih 
gila susah bener nyari driver sekarang di wilayah Palembang,3,gila susah bener nyari driver sekarang di wilayah palembang
"makin hari makin gjls go food nya. saya pesen go food Uda 2 jam nunggu, driver susah bgt dapet nya. padahal pake yg ekspres. Uda ganti resto sampe 2 kali. kecewa bgt sama gojek. parah sih",1,makin hari makin gjls go food nya saya pesen go food uda  jam nunggu driver susah bgt dapet nya padahal pake yg ekspres uda ganti resto sampe  kali kecewa bgt sama gojek parah sih
Mantaaap...,4,mantaaap
ga masuk akal nih apk. apa2 di jadiin duit sm nih apk. mana lelet lagi. kasian mitranya. membebani mitra n cs nya.. ga membantu. kurang ajar nih apk. udh hampir 2jam nunggu mkn. ehh ga bisa order. cancel ga bisa.,1,ga masuk akal nih apk apa di jadiin duit sm nih apk mana lelet lagi kasian mitranya membebani mitra n cs nya ga membantu kurang ajar nih apk udh hampir jam nunggu mkn ehh ga bisa order cancel ga bisa
bisa membantu saya ketika lg laper tengah malem,5,bisa membantu saya ketika lg laper tengah malem
lama cok,1,lama cok
"pelayanan drivernya okei, kecepatan mendapatkan drivernya juga sangat oke, dan pengantarannya yang sangat cepat dan mantapp",5,pelayanan drivernya okei kecepatan mendapatkan drivernya juga sangat oke dan pengantarannya yang sangat cepat dan mantapp
"knpa skrng jd lebih lama ya anter makanannya, pdhal jaraknya ga terlalu jauh tapi bisa sampe 30 - 50 menit. sedangkan di aplikasi lain bisa lebih cepet. tolong di perbaiki ya, terimakasih.",1,knpa skrng jd lebih lama ya anter makanannya pdhal jaraknya ga terlalu jauh tapi bisa sampe    menit sedangkan di aplikasi lain bisa lebih cepet tolong di perbaiki ya terimakasih
"Kelamaan cari drivernya. Pesen makanan nunggu 1jam cuman buat cari driver, ga dapet terus.",2,kelamaan cari drivernya pesen makanan nunggu jam cuman buat cari driver ga dapet terus
"lama dapat driver, pernah gosend di cancel drivernya",3,lama dapat driver pernah gosend di cancel drivernya
"overall stabil,ada beberapa bug nyebelin kaya switch payment dri tunai ke saldo gopay kadang suka gabisa. Kalo bisa sih tambahin payment qris kaya grab,sangat memudahkan genZ",5,overall stabilada beberapa bug nyebelin kaya switch payment dri tunai ke saldo gopay kadang suka gabisa kalo bisa sih tambahin payment qris kaya grabsangat memudahkan genz
"aplikasi gak jelas, udah 3 kali saya pesan makanan tapi gak dapat driver,emg aplikasi gak jelas",1,aplikasi gak jelas udah  kali saya pesan makanan tapi gak dapat driveremg aplikasi gak jelas
pelayanan mengecewakan auto uninstal. bye,1,pelayanan mengecewakan auto uninstal bye
OK mantaff,5,ok mantaff
"woy lah minggu minggu ini driver ga mau ngambil pesenan apa, lapar ini lapar astaghfirullah...",3,woy lah minggu minggu ini driver ga mau ngambil pesenan apa lapar ini lapar astaghfirullah
"apk ga jelas. sekarang merugikan kedua belah pihak, pihak driver dan customer. dari driver selalu aja ga pernah komunikasi ke customer terkait narik atau tidaknya",1,apk ga jelas sekarang merugikan kedua belah pihak pihak driver dan customer dari driver selalu aja ga pernah komunikasi ke customer terkait narik atau tidaknya
trs bedanya pesen gofood express sama reguler apa min? beda harga nya aja kah? herman sayaaa,2,trs bedanya pesen gofood express sama reguler apa min beda harga nya aja kah herman sayaaa
"aplikasi lelet,cs gak guna",1,aplikasi leletcs gak guna
"dapet drivernya lama,dan dari kemarin pun sama,mentang-mentang ongkirnya murah jadinya GK ada yang nganterin (untuk wilayah bandar Lampung) untuk wilayah lain aman-aman aja",3,dapet drivernya lamadan dari kemarin pun samamentangmentang ongkirnya murah jadinya gk ada yang nganterin untuk wilayah bandar lampung untuk wilayah lain amanaman aja
aplikasi yang makin hari makin bobrok,1,aplikasi yang makin hari makin bobrok
ga ngebantu,1,ga ngebantu
"DRIVER KOSONG PAS UJAN, NUNGGU GOFOOD SATU JAM LEBIH TAUNYA SURUH BATALIN DARI APK. GAJELAS",1,driver kosong pas ujan nunggu gofood satu jam lebih taunya suruh batalin dari apk gajelas
"pesan gofood lama bgt dapat driver nya, mana ngak bisa di cancel, nunggu hampir 1jam ngak ada kepastiaan, perut keburu lapar",1,pesan gofood lama bgt dapat driver nya mana ngak bisa di cancel nunggu hampir jam ngak ada kepastiaan perut keburu lapar
lama nya bener² kebangetan kalo mesen go food driver nya ga ketemu²,2,lama nya bener kebangetan kalo mesen go food driver nya ga ketemu
"ga dapet"" driver",1,ga dapet driver
"Gofoodnya pula udah 2x nunggu hampir sejam gak nyangkut2 drivernyaaa RUGIII WAKTU WOYYY kalo mendung dikit aja dapetnya jau bgt giliran dapet astaga gak ada beda sama tarif yg murahhh , waktu tunggu lamaa bangett , orang mah buru2 jadi nunggu set jam anjir",1,gofoodnya pula udah x nunggu hampir sejam gak nyangkut drivernyaaa rugiii waktu woyyy kalo mendung dikit aja dapetnya jau bgt giliran dapet astaga gak ada beda sama tarif yg murahhh  waktu tunggu lamaa bangett  orang mah buru jadi nunggu set jam anjir
membantu transportasi saya,5,membantu transportasi saya
"kacau udah nunggu lama, gak dapet"" driver ternyata dibatalkan. estimasi nyari drivernya lama banget, udh gtu gak dapet pula payah bgt",1,kacau udah nunggu lama gak dapet driver ternyata dibatalkan estimasi nyari drivernya lama banget udh gtu gak dapet pula payah bgt
semakin ke sini mencari gocar semakin sulit ntah kenapa padahal saya selalu ngasih tip kakau drivernya baik selalu nunggu di depan kalau driver udh dekat. kecewa sih,1,semakin ke sini mencari gocar semakin sulit ntah kenapa padahal saya selalu ngasih tip kakau drivernya baik selalu nunggu di depan kalau driver udh dekat kecewa sih
susah dapet driver kalo pesen makan keburu mati nunggu driver,1,susah dapet driver kalo pesen makan keburu mati nunggu driver
"lelet, ada fitur hemat tpi driver gak mau ambil gblok",1,lelet ada fitur hemat tpi driver gak mau ambil gblok
Makin lama makin bobrok aplikatornya. Tiap hujan driver selalu diam tanpa kejelasan.,1,makin lama makin bobrok aplikatornya tiap hujan driver selalu diam tanpa kejelasan
"lelet, mahal, mending apk sebelah",1,lelet mahal mending apk sebelah
"lupa sudah berapa tahun pakai gojek, tapi ini satu-satunya aplikasi ramah pengguna‐menurut saya. semoga kualitas terus ditingkatkan!",5,lupa sudah berapa tahun pakai gojek tapi ini satusatunya aplikasi ramah penggunamenurut saya semoga kualitas terus ditingkatkan
susah nyari driver untuk gofood. sebab kebijakan dari gojek yang membuat driver gamau ambil. dan akhirnya membuat konsumen tidak nyaman. kecewa saya sebagai pelanggan yang sering pesan gofood sebelumnya.,1,susah nyari driver untuk gofood sebab kebijakan dari gojek yang membuat driver gamau ambil dan akhirnya membuat konsumen tidak nyaman kecewa saya sebagai pelanggan yang sering pesan gofood sebelumnya
"sepi driver, 2 jam gk dapet dapet, sekali nya dapet langsung di cancel",1,sepi driver  jam gk dapet dapet sekali nya dapet langsung di cancel
Gojek cepat aman dan terpercaya,5,gojek cepat aman dan terpercaya
kenapa ya sekarang pesan gofood susah dapet driver padahal bukan pesan di jam yg sibuk sampe harus nunggu 30 menit itupun blm dpt driver juga.!!,1,kenapa ya sekarang pesan gofood susah dapet driver padahal bukan pesan di jam yg sibuk sampe harus nunggu  menit itupun blm dpt driver juga
dibatalkan terus ga pernah dapat driver,1,dibatalkan terus ga pernah dapat driver
akhir2 ini driver nya pada ga mau Terima orderan sombong amat,1,akhir ini driver nya pada ga mau terima orderan sombong amat
makin lama makin susah nyari driver apk apaan ini mesen makanan 2jam nunggu driver mulu. dicancel gak bisa gak tau apa orang udah laper. GAK BISA DICANCEL NGETI GAK BAHASA GAK BISA DICANCEL,1,makin lama makin susah nyari driver apk apaan ini mesen makanan jam nunggu driver mulu dicancel gak bisa gak tau apa orang udah laper gak bisa dicancel ngeti gak bahasa gak bisa dicancel
Banyakin promo ya,5,banyakin promo ya
"kendala yng sering saya dapatkan,, sering kali cari driver lama, sampai kadang di batalkan pembelian karna lamanya atau gak dapet drivernya",3,kendala yng sering saya dapatkan sering kali cari driver lama sampai kadang di batalkan pembelian karna lamanya atau gak dapet drivernya
kenapa selalu susah dapat driver buat gofood ya?,3,kenapa selalu susah dapat driver buat gofood ya
udah mahal malah ada bug pesen sendiri mana gabisa di batalin,1,udah mahal malah ada bug pesen sendiri mana gabisa di batalin
"TOLONG TINDAK TEGAS SEMUA MITRA DRIVER, MASAK PESAN MAKANAN 1 JAM RESTO GA DAPET DRIVER. UDA ONGKIR MAHAL DRIVER KAYAK ORANG GA BUTUH DUIT AJA. KITA ONGKIR YA BAYAR BUKAN GRATISAN.",1,tolong tindak tegas semua mitra driver masak pesan makanan  jam resto ga dapet driver uda ongkir mahal driver kayak orang ga butuh duit aja kita ongkir ya bayar bukan gratisan
"kenapa akhir2 ini susah bgt driver nya?? yg goride, yg gosend, yg gofood.. ini udh sejam gosend gak ada yg nyangkut driver nya",4,kenapa akhir ini susah bgt driver nya yg goride yg gosend yg gofood ini udh sejam gosend gak ada yg nyangkut driver nya
"kalo pesen gofood jarang ada yg nerima padahal resto lagi ga rame, dan gabisa dibatalin setelah 30 menit gadapet driver, kadang udah 1 jam ga dapet driver tetep gabisa dibatalin padahal pengiriman prioritas",1,kalo pesen gofood jarang ada yg nerima padahal resto lagi ga rame dan gabisa dibatalin setelah  menit gadapet driver kadang udah  jam ga dapet driver tetep gabisa dibatalin padahal pengiriman prioritas
jarang dpt diver,4,jarang dpt diver
game nya seru!,5,game nya seru
mantap dan membantu sekali,5,mantap dan membantu sekali
sangat bagus saya telah memakai apl ini selama 6 tahun pokoknya cepat,5,sangat bagus saya telah memakai apl ini selama  tahun pokoknya cepat
"bgs sh aplikasi gojek ni tp syng ongkosnya msh naik turun, klw mlm susah bnr dpt drivernya pdhl di aplikasi bnyk drivernya.",5,bgs sh aplikasi gojek ni tp syng ongkosnya msh naik turun klw mlm susah bnr dpt drivernya pdhl di aplikasi bnyk drivernya
min gimana si driver gocar nyaa pada narik penumpang lain tapi terima orderan kita juga giliran udah nungguin pas udah selesai malah ga lama di tolak kan ga enak banget sampe 10 orderan tapi malah di tolak semua capek saya udah nungguin sampe 3-4 jam an capek banget akhirnya saya cari transportasi harusnya gojek memudahkan aplikasi malah mempersulit tolong di perbaiki dulu yak maaf KLO rada kasar soalnya saya juga kebawa emosi minal aidzin fal faizin.,1,min gimana si driver gocar nyaa pada narik penumpang lain tapi terima orderan kita juga giliran udah nungguin pas udah selesai malah ga lama di tolak kan ga enak banget sampe  orderan tapi malah di tolak semua capek saya udah nungguin sampe  jam an capek banget akhirnya saya cari transportasi harusnya gojek memudahkan aplikasi malah mempersulit tolong di perbaiki dulu yak maaf klo rada kasar soalnya saya juga kebawa emosi minal aidzin fal faizin
nunggu driver harus nunggu sampe satu jam dulu baru pesanan bisa dibatalkan,1,nunggu driver harus nunggu sampe satu jam dulu baru pesanan bisa dibatalkan
"bubar aja ni aplikasi. go food wilayah serang banten, mandul. pindah ke sebelah ah",1,bubar aja ni aplikasi go food wilayah serang banten mandul pindah ke sebelah ah
"tidak disaran kan untuk pilih metode pembayaran cash, sampe gajah bertelur pun gak akan ada yang ambil orderan.Begitu pakai gopay, belum juga 2 menit sudah ada ambil orderannya. Saya sangat puas sekali. Terimakasih",5,tidak disaran kan untuk pilih metode pembayaran cash sampe gajah bertelur pun gak akan ada yang ambil orderanbegitu pakai gopay belum juga  menit sudah ada ambil orderannya saya sangat puas sekali terimakasih
apk sakit,1,apk sakit
enak,5,enak
susah bgt dpt driver!!!!,1,susah bgt dpt driver
nyari driver susah padahal banyak yang bolak balik depan rumah,1,nyari driver susah padahal banyak yang bolak balik depan rumah
kyk disengaja order didiemin sama driver pdhl di map ada bbrp mobil disekitaran lokasi. tapi begitu beralih ke prioritas yg harganya 55rb pdhl jaraknya dekat langsung deh dapet driver. parahhh,2,kyk disengaja order didiemin sama driver pdhl di map ada bbrp mobil disekitaran lokasi tapi begitu beralih ke prioritas yg harganya rb pdhl jaraknya dekat langsung deh dapet driver parahhh
susah banget dapat driver gofood. nunggu waktu pembatalan otomatis sangat lama.,1,susah banget dapat driver gofood nunggu waktu pembatalan otomatis sangat lama
"rese Banget ngegofood hampir sejam gak dapat driver, mana lagi lapar mana gak bisa dibatalin😡",1,rese banget ngegofood hampir sejam gak dapat driver mana lagi lapar mana gak bisa dibatalin
